XS01G0000100.1	XS01G0000100	desc	Chr01	+	1669	5749			1669	5749
XS01G0000300.1	XS01G0000300	desc	Chr01	+	16432	16704			16432	16704
XS01G0000400.1	XS01G0000400	desc	Chr01	-	16814	21752			16814	21752
XS01G0000500.1	XS01G0000500	desc	Chr01	+	19797	31373			19797	31373
XS01G0000600.1	XS01G0000600	desc	Chr01	-	23506	25299			23506	25299
XS01G0000700.1	XS01G0000700	desc	Chr01	-	33478	36685			33478	36685
XS01G0000800.1	XS01G0000800	desc	Chr01	+	41818	42606			41818	42606
XS01G0000900.1	XS01G0000900	desc	Chr01	-	45077	46762			45077	46762
XS01G0001000.1	XS01G0001000	desc	Chr01	-	47516	52580			47516	52580
XS01G0001100.1	XS01G0001100	desc	Chr01	-	59950	61194			59950	61194
XS01G0001200.1	XS01G0001200	desc	Chr01	-	64300	69856			64300	69856
XS01G0001400.1	XS01G0001400	desc	Chr01	-	77623	78030			77623	78030
XS01G0001500.1	XS01G0001500	desc	Chr01	-	80673	85210			80673	85210
XS01G0001600.1	XS01G0001600	desc	Chr01	+	88347	92321			88347	92321
XS01G0001700.1	XS01G0001700	desc	Chr01	+	93878	96984			93878	96984
XS01G0001800.1	XS01G0001800	desc	Chr01	-	97573	107580			97573	107580
XS01G0001900.1	XS01G0001900	desc	Chr01	-	134208	141106			134208	141106
XS01G0002000.1	XS01G0002000	desc	Chr01	-	144190	146039			144190	146039
XS01G0002100.1	XS01G0002100	desc	Chr01	-	147218	156613			147218	156613
XS01G0002200.1	XS01G0002200	desc	Chr01	-	156671	157448			156671	157448
XS01G0002300.1	XS01G0002300	desc	Chr01	-	157985	167278			157985	167278
XS01G0002500.1	XS01G0002500	desc	Chr01	+	193538	199544			193538	199544
XS01G0002600.1	XS01G0002600	desc	Chr01	+	200460	206093			200460	206093
XS01G0002700.1	XS01G0002700	desc	Chr01	-	223761	224228			223761	224228
XS01G0002800.1	XS01G0002800	desc	Chr01	-	229203	235926			229203	235926
XS01G0002900.1	XS01G0002900	desc	Chr01	-	256028	259007			256028	259007
XS01G0003000.1	XS01G0003000	desc	Chr01	-	278303	283117			278303	283117
XS01G0003100.1	XS01G0003100	desc	Chr01	-	294870	306837			294870	306837
XS01G0003200.1	XS01G0003200	desc	Chr01	-	313129	318578			313129	318578
XS01G0003300.1	XS01G0003300	desc	Chr01	+	319705	321520			319705	321520
XS01G0003400.1	XS01G0003400	desc	Chr01	-	319844	326073			319844	326073
XS01G0003500.1	XS01G0003500	desc	Chr01	-	326904	331349			326904	331349
XS01G0003600.1	XS01G0003600	desc	Chr01	-	335310	345668			335310	345668
XS01G0003700.1	XS01G0003700	desc	Chr01	+	353484	354458			353484	354458
XS01G0003800.1	XS01G0003800	desc	Chr01	-	357660	360543			357660	360543
XS01G0003900.1	XS01G0003900	desc	Chr01	-	361690	365027			361690	365027
XS01G0004000.1	XS01G0004000	desc	Chr01	+	387359	390979			387359	390979
XS01G0004100.1	XS01G0004100	desc	Chr01	+	394007	396716			394007	396716
XS01G0004200.1	XS01G0004200	desc	Chr01	-	396817	399210			396817	399210
XS01G0004300.1	XS01G0004300	desc	Chr01	+	403025	403657			403025	403657
XS01G0004400.1	XS01G0004400	desc	Chr01	-	405359	406375			405359	406375
XS01G0004500.1	XS01G0004500	desc	Chr01	-	409591	411017			409591	411017
XS01G0004600.1	XS01G0004600	desc	Chr01	+	411267	413539			411267	413539
XS01G0004800.1	XS01G0004800	desc	Chr01	+	424705	426993			424705	426993
XS01G0004900.1	XS01G0004900	desc	Chr01	-	428914	431890			428914	431890
XS01G0005000.1	XS01G0005000	desc	Chr01	+	441547	450052			441547	450052
XS01G0005100.1	XS01G0005100	desc	Chr01	-	450159	452701			450159	452701
XS01G0005200.1	XS01G0005200	desc	Chr01	+	455591	460826			455591	460826
XS01G0005300.1	XS01G0005300	desc	Chr01	-	460609	463935			460609	463935
XS01G0005400.1	XS01G0005400	desc	Chr01	-	468770	472836			468770	472836
XS01G0005500.1	XS01G0005500	desc	Chr01	+	473974	479325			473974	479325
XS01G0005700.1	XS01G0005700	desc	Chr01	+	485688	489221			485688	489221
XS01G0005800.1	XS01G0005800	desc	Chr01	-	488798	491568			488798	491568
XS01G0005900.1	XS01G0005900	desc	Chr01	+	492692	494294			492692	494294
XS01G0006000.1	XS01G0006000	desc	Chr01	-	496158	499323			496158	499323
XS01G0006100.1	XS01G0006100	desc	Chr01	+	508501	512003			508501	512003
XS01G0006200.1	XS01G0006200	desc	Chr01	+	513508	524532			513508	524532
XS01G0006300.1	XS01G0006300	desc	Chr01	-	525465	526583			525465	526583
XS01G0006400.1	XS01G0006400	desc	Chr01	+	528383	528898			528383	528898
XS01G0006500.1	XS01G0006500	desc	Chr01	-	541120	541650			541120	541650
XS01G0006600.1	XS01G0006600	desc	Chr01	+	543700	544230			543700	544230
XS01G0006700.1	XS01G0006700	desc	Chr01	+	564520	565041			564520	565041
XS01G0006800.1	XS01G0006800	desc	Chr01	+	569968	570504			569968	570504
XS01G0007300.1	XS01G0007300	desc	Chr01	+	614266	614775			614266	614775
XS01G0007400.1	XS01G0007400	desc	Chr01	+	621120	621641			621120	621641
XS01G0007500.1	XS01G0007500	desc	Chr01	+	629128	629652			629128	629652
XS01G0008400.1	XS01G0008400	desc	Chr01	+	671209	671796			671209	671796
