	MA_10	24712	27159
	MA_10000213	1	1451
	MA_10000405	1	917
	MA_1000049	357	756
	MA_10000516	1259	1612
	MA_10001	14379	15197
	MA_10001015	1268	1807
	MA_10001337	1	863
	MA_10001425	1	603
	MA_10001478	663	1561
	MA_10001558	1922	2161
	MA_10002	14431	15567
	MA_10002	17217	18371
	MA_10002030	573	3538
	MA_10002157	710	1144
	MA_10002549	1	685
	MA_10002583	3974	4896
	MA_10002614	1	3060
	MA_10002643	4143	4502
	MA_1000285	6073	7078
	MA_10003056	1520	2272
	MA_10003125	2615	3028
	MA_10003325	1046	1474
	MA_10003325	1957	2409
	MA_10003489	1310	1771
	MA_10003545	1	4916
	MA_10003621	628	1070
	MA_10003984	1610	2466
	MA_10004022	822	1368
	MA_10004132	3068	3241
	MA_10004389	133	571
	MA_10004434	1	293
	MA_10004639	1352	1681
	MA_10004892	278	514
	MA_10005	1	4727
	MA_10005026	4919	5505
	MA_10005112	72	4712
	MA_100052	11809	12672
	MA_10005612	1	512
	MA_100058	5890	9163
	MA_10005801	248	961
	MA_10005947	3686	3862
	MA_10006044	384	1001
	MA_10006046	104	472
	MA_10006055	214	588
	MA_10006055	622	879
	MA_10006126	1	2996
	MA_10006291	1023	1321
	MA_100063	1	5782
	MA_10006362	3595	3957
	MA_10006541	1	783
	MA_10006601	816	1277
	MA_10006831	2392	3434
	MA_10006977	1257	1640
	MA_100071	9644	10480
	MA_10007324	1	2254
	MA_10007370	1	1993
	MA_10007908	1139	1450
	MA_10008	610	2582
	MA_1000807	1	6869
	MA_100082	276	500
	MA_10008335	2389	2688
	MA_1000836	8400	8919
	MA_100087	10010	11846
	MA_1000870	926	1135
	MA_10009	18090	23578
	MA_10009016	1	5457
	MA_10009049	7250	8146
	MA_10009233	6766	7419
	MA_100094	11694	12998
	MA_10009487	1	485
	MA_10009970	667	1397
	MA_10009991	1	747
	MA_100101	13412	14439
	MA_10010249	448	660
	MA_10010412	1439	1655
	MA_10010680	541	836
	MA_100107	1	7979
	MA_100113	13900	14558
	MA_10011579	514	894
	MA_10011676	1	299
	MA_10011775	1209	1607
	MA_10011940	1	1241
	MA_10011980	1162	1557
	MA_10012052	7576	7839
	MA_10012164	1	644
	MA_10012199	1152	1490
	MA_100123	5955	6176
	MA_100123	15202	15369
	MA_100123	20821	20988
	MA_10012769	1	263
	MA_100129	12003	14951
	MA_10013023	679	880
	MA_10013115	2141	3958
	MA_10013136	1	197
	MA_100132	24476	25762
	MA_10013274	295	545
	MA_100135	9645	12446
	MA_10013531	3087	3239
	MA_10013593	1	1983
	MA_100136	5172	5483
	MA_10013703	185	872
	MA_10013703	1111	2040
	MA_10013774	2262	2567
	MA_100138	10010	11518
	MA_10014137	1705	2449
	MA_10014141	138	1262
	MA_10014377	802	1434
	MA_10014697	925	3977
	MA_10014834	56	1630
	MA_10014834	5051	5296
	MA_10014849	1	1268
	MA_100150	4186	5136
	MA_100151	6409	9859
	MA_100154	9572	10450
	MA_10015466	5771	6139
	MA_10015466	6272	6430
	MA_100155	9205	9507
	MA_1001553	3396	3563
	MA_1001573	1252	2064
	MA_10015839	396	693
	MA_10015940	2979	4954
	MA_10015961	568	1226
	MA_10015968	1132	2363
	MA_1001601	202	1674
	MA_1001601	1757	2689
	MA_10016128	1	306
	MA_10016194	1756	2037
	MA_10016305	468	1305
	MA_10016710	1	946
	MA_10016710	1108	2467
	MA_10016720	3035	3214
	MA_10016873	65	4466
	MA_10017	3692	8892
	MA_10017488	1273	1907
	MA_10017564	1098	2046
	MA_10017880	1084	1403
	MA_100179	16308	19730
	MA_10017907	953	1369
	MA_10018022	2825	3328
	MA_10018048	885	1860
	MA_1001810	283	1505
	MA_1001810	1718	3313
	MA_1001811	3148	3471
