Potra2n1c1	chr1	8865	11259
Potra2n1c2	chr1	21121	21603
Potra2n1c3	chr1	22295	24697
Potra2n1c4	chr1	30731	32811
Potra2n1c5	chr1	33508	33833
Potra2n1c6	chr1	50823	54726
Potra2n1c7	chr1	50901	51116
Potra2n1c8	chr1	54928	62450
Potra2n1c9	chr1	69471	73884
Potra2n1c10	chr1	74717	75583
Potra2n1c11	chr1	84221	86694
Potra2n1c12	chr1	86801	96609
Potra2n1c13	chr1	103777	107127
Potra2n1c14	chr1	107402	112114
Potra2n1c15	chr1	113473	114609
Potra2n1c16	chr1	116263	119809
Potra2n1c17	chr1	120615	127591
Potra2n1c18	chr1	128115	129449
Potra2n1c19	chr1	130590	135327
Potra2n1c20	chr1	135734	143676
Potra2n1c21	chr1	135744	141089
Potra2n1c22	chr1	145164	149546
Potra2n1c23	chr1	154650	162458
Potra2n1c24	chr1	163454	170291
Potra2n1c25	chr1	172454	179221
Potra2n1c26	chr1	184534	190919
Potra2n1c27	chr1	184735	188443
Potra2n1c28	chr1	192792	197447
Potra2n1c29	chr1	204977	205363
Potra2n1c30	chr1	206024	206356
Potra2n1c31	chr1	208601	213786
Potra2n1c32	chr1	214737	215823
Potra2n1c33	chr1	218937	222954
Potra2n1c34	chr1	227888	247106
Potra2n1c35	chr1	242748	246117
Potra2n1c36	chr1	257340	257633
Potra2n1c37	chr1	259546	277062
Potra2n1c38	chr1	276310	286594
Potra2n1c39	chr1	284381	285853
Potra2n1c40	chr1	287754	291404
Potra2n1c41	chr1	297111	300566
Potra2n1c42	chr1	301227	302090
Potra2n1c43	chr1	302458	302718
Potra2n1c44	chr1	305656	315515
Potra2n1c45	chr1	323211	323845
Potra2n1c46	chr1	364166	374478
Potra2n1c47	chr1	375058	383324
Potra2n1c48	chr1	376098	379269
Potra2n1c49	chr1	382952	383708
Potra2n1c50	chr1	388176	392032
Potra2n1c51	chr1	401168	407471
Potra2n1c52	chr1	405300	406976
Potra2n1c53	chr1	427839	430892
Potra2n1c54	chr1	431918	436074
Potra2n1c55	chr1	437426	438975
Potra2n1c56	chr1	449971	469540
Potra2n1c57	chr1	471856	477236
Potra2n1c58	chr1	480176	484021
Potra2n1c59	chr1	498096	502599
Potra2n1c60	chr1	511489	521207
Potra2n1c61	chr1	526183	531112
Potra2n1c62	chr1	533339	539014
Potra2n1c63	chr1	538724	540496
Potra2n1c64	chr1	547049	547424
Potra2n1c65	chr1	559305	564236
Potra2n1c66	chr1	562817	564232
Potra2n1c67	chr1	566114	567529
Potra2n1c68	chr1	568686	570334
Potra2n1c69	chr1	577785	578024
Potra2n1c70	chr1	581258	582616
Potra2n1c71	chr1	608018	610540
Potra2n1c72	chr1	610061	611240
Potra2n1c73	chr1	612866	615167
Potra2n1c74	chr1	615331	619895
Potra2n1c75	chr1	620198	624777
Potra2n1c76	chr1	628312	629401
Potra2n1c77	chr1	638633	644881
Potra2n1c78	chr1	643845	650667
Potra2n1c79	chr1	652368	659204
Potra2n1c80	chr1	662336	667738
Potra2n1c81	chr1	667163	667369
Potra2n1c82	chr1	669196	669423
Potra2n1c83	chr1	681861	683597
Potra2n1c84	chr1	683719	683907
Potra2n1c85	chr1	684449	684862
Potra2n1c86	chr1	684989	685957
Potra2n1c87	chr1	686404	689431
Potra2n1c88	chr1	692796	693278
Potra2n1c89	chr1	695037	696457
Potra2n1c90	chr1	700193	701930
Potra2n1c91	chr1	706294	707686
Potra2n1c92	chr1	708303	713702
Potra2n1c93	chr1	711298	721143
Potra2n1c94	chr1	726843	728059
Potra2n1c95	chr1	733009	733956
Potra2n1c96	chr1	742922	743509
Potra2n1c97	chr1	752104	753036
Potra2n1c98	chr1	754133	754480
Potra2n1c99	chr1	755846	757021
Potra2n1c100	chr1	757437	758593
Potra2n1c101	chr1	758584	765268
Potra2n1c102	chr1	776288	787731
Potra2n1c103	chr1	788571	795992
Potra2n1c104	chr1	796360	804317
Potra2n1c105	chr1	807275	812341
Potra2n1c106	chr1	807665	807940
Potra2n1c107	chr1	813639	819129
Potra2n1c108	chr1	819684	822218
Potra2n1c109	chr1	825708	827788
Potra2n1c110	chr1	832219	837581
Potra2n1c111	chr1	850371	873392
Potra2n1c112	chr1	886199	888754
Potra2n1c113	chr1	901214	902580
Potra2n1c114	chr1	919623	924171
Potra2n1c115	chr1	924751	927543
Potra2n1c116	chr1	927586	928743
Potra2n1c117	chr1	934051	969571
Potra2n1c118	chr1	978831	994551
Potra2n1c119	chr1	1004268	1008158
Potra2n1c120	chr1	1016585	1020155
Potra2n1c121	chr1	1032588	1035393
Potra2n1c122	chr1	1037926	1039038
Potra2n1c123	chr1	1042489	1043571
Potra2n1c124	chr1	1315224	1321306
Potra2n1c125	chr1	1357601	1357867
Potra2n1c126	chr1	1364677	1367496
Potra2n1c127	chr1	1378811	1385821
Potra2n1c128	chr1	1387052	1387613
Potra2n1c129	chr1	1390079	1391660
